No,Mood,Quotes
1,Joy,"""The purpose of life is not to be happy, but to be joyful."" - Ralph Waldo Emerson"
2,Joy,"""Happiness depends upon ourselves."" - Aristotle"
3,Joy,"""Joy is not in things; it is in us."" - Richard Wagner"
4,Joy,"""Life is short, and it is up to you to make it sweet."" - Sarah Louise Delany"
5,Joy,"""The best way to pay for a lovely moment is to enjoy it."" - Richard Bach"
6,Joy,"""There are as many nights as days, and the one is just as long as the other in the soul."" - Emily Dickinson"
7,Joy,"""Let us always meet each other with a smile, for the smile is the beginning of love."" - Mother Teresa"
8,Joy,"""Joy is a net of love by which you can catch souls."" - Mother Teresa"
9,Joy,"""Do not dwell in the past, do not dream of the future, concentrate the mind on the present moment."" - Buddha"
10,Joy,"""Happiness is not something ready-made. It comes from your own actions."" - Dalai Lama"
11,Joy,"""In the end, we only regret the chances we didn't take."" - Lewis Carroll"
12,Joy,"""Be the reason someone smiles today."" - Unknown"
13,Joy,"""When we do the best we can, we never know what miracle is wrought in our life, or in the life of another."" - Helen Keller"
14,Joy,"""Laughter is timeless, imagination has no age, and dreams are forever."" - Walt Disney"
15,Joy,"""Happiness is the highest good."" - Aristotle"
16,Joy,"""Live life as if everything is rigged in your favor."" - Rumi"
17,Joy,"""Gratitude turns what we have into enough."" - Anonymous"
18,Joy,"""The more you praise and celebrate your life, the more there is in life to celebrate."" - Oprah Winfrey"
19,Joy,"""A day without laughter is a day wasted."" - Charlie Chaplin"
20,Joy,"""Every moment is a fresh beginning."" - T.S. Eliot"
21,Joy,"""Happiness is a direction, not a place."" - Sydney J. Harris"
22,Joy,"""When one door of happiness closes, another opens."" - Helen Keller"
23,Joy,"""To live is to suffer, to survive is to find some meaning in the suffering."" - Friedrich Nietzsche"
24,Joy,"""Joy is the simplest form of gratitude."" - Karl Barth"
25,Joy,"""Be happy for this moment. This moment is your life."" - Omar Khayyam"
26,Joy,"""Keep smiling, because life is a beautiful thing and there’s so much to smile about."" - Marilyn Monroe"
27,Joy,"""If you want to be happy, be."" - Leo Tolstoy"
28,Joy,"""A joyful heart is the inevitable result of a heart burning with love."" - Mother Teresa"
29,Joy,"""When you’re doing what you love, you’re always in a state of joy."" - Unknown"
30,Joy,"""Happiness is a choice, not a result."" - Ralph Marston"
31,Sadness,"""Tears are words that need to be written."" - Paulo Coelho"
32,Sadness,"""It’s sad when someone you know becomes someone you knew."" - Henry Rollins"
33,Sadness,"""Sadness flies away on the wings of time."" - Jean de La Fontaine"
34,Sadness,"""The walls we build around us to keep sadness out also keeps out the joy."" - Jim Rohn"
35,Sadness,"""No one can make you feel inferior without your consent."" - Eleanor Roosevelt"
36,Sadness,"""When you feel sad, it's okay to feel that way. It’s just part of life."" - Unknown"
37,Sadness,"""It's okay to not be okay as long as you are not giving up."" - Karen Salmansohn"
38,Sadness,"""The greatest pain that comes from love is loving someone you can never have."" - Unknown"
39,Sadness,"""Sometimes, you have to let go of the one thing that’s hurting you."" - Unknown"
40,Sadness,"""The pain of parting is nothing to the joy of meeting again."" - Charles Dickens"
41,Sadness,"""You don’t have to be strong all the time. It’s okay to feel sad."" - Unknown"
42,Sadness,"""Sometimes the people you love don’t understand your pain."" - Unknown"
43,Sadness,"""It's hard to forget someone who gave you so much to remember."" - Unknown"
44,Sadness,"""A heart that’s been broken is the most real thing you’ll ever hold."" - Unknown"
45,Sadness,"""Grief is the price we pay for love."" - Queen Elizabeth II"
46,Sadness,"""Sadness is but a wall between two gardens."" - Kahlil Gibran"
47,Sadness,"""Life is tough, but so are you."" - Unknown"
48,Sadness,"""You never know how strong you are until being strong is your only choice."" - Bob Marley"
49,Sadness,"""The only thing that can heal a broken heart is time."" - Unknown"
50,Sadness,"""Time heals all wounds."" - Geoffrey Chaucer"
51,Sadness,"""You don’t have to forget, you just have to let go."" - Unknown"
52,Sadness,"""Grief is the price we pay for love."" - Elizabeth II"
53,Sadness,"""It is better to have loved and lost than never to have loved at all."" - Alfred Lord Tennyson"
54,Sadness,"""The greatest sorrow is to know that you have lost something you can never get back."" - Unknown"
55,Sadness,"""Sometimes, the hardest thing and the right thing are the same."" - Unknown"
56,Sadness,"""What hurts the most is not being able to say goodbye."" - Unknown"
57,Sadness,"""Sometimes the pain is just too much to bear."" - Unknown"
58,Sadness,"""Tears come from the heart and not from the brain."" - Leonardo da Vinci"
59,Sadness,"""I never wanted to be the one to say goodbye."" - Unknown"
60,Sadness,"""Sorrow is how we learn to appreciate joy."" - Unknown"
61,Anger,"""Holding onto anger is like drinking poison and expecting the other person to die."" - Buddha"
62,Anger,"""Anger is a temporary madness."" - Horace"
63,Anger,"""Speak when you are angry, and you will make the best speech you will ever regret."" - Ambrose Bierce"
64,Anger,"""Anger is never without a reason, but seldom with a good one."" - Benjamin Franklin"
65,Anger,"""For every minute you remain angry, you give up sixty seconds of peace of mind."" - Ralph Waldo Emerson"
66,Anger,"""Whatever is begun in anger ends in shame."" - Benjamin Franklin"
67,Anger,"""He who angers you conquers you."" - Elizabeth Kenny"
68,Anger,"""Anger makes dull men witty, but it keeps them poor."" - Francis Bacon"
69,Anger,"""Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured."" - Mark Twain"
70,Anger,"""People who fly into a rage always make a bad landing."" - Will Rogers"
