Page_URL,Title,Rating,Reviews,Address,Phone_Number,Price,Category,Jadwal,Plus_code,image,Opsi_Layanan,Penawaran,Pilihan_Makanan,Fasilitas,Suasana,Tipe_pengunjung,Perencanaan,Pembayaran,anak_anak,Parkir,
"https://www.google.com/maps/place/Cold+'N+Brew+Solo+Balapan/@-7.5584055,110.8175291,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a179e342ce495:0xa8ab3f7745758bd3!8m2!3d-7.5584055!4d110.820104!16s%2Fg%2F11sp936hhy?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjM0SAFQAw%3D%3D",Cold 'N Brew Solo Balapan,"4,5",1078,"
Jl. Hasanudin No.129, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132",02716793355,Rp 25–50 rb,Kedai Kopi,"Senin 07.00–01.00
Selasa 07.00–01.00
Rabu 07.00–01.00
Kamis 07.00–00.00
Jumat Buka 24 jam
Sabtu Buka 24 jam
Minggu 07.00–01.00","CRRC+J2 Punggawan, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipMhkVN-mHvDGTaXRqdw0VK8WNmeDOGwb8X2sEEb=w408-h272-k-no,"Tempat duduk di area terbuka
Ambil di tepi jalan
Antar tanpa bertemu
Pesan antar
Bawa pulang
Makan di tempat","Hidangan larut malam
Kopi
Makanan happy hour
Makanan siap saji
Minuman happy hour","Sarapan
Brunch
Makan siang
Makan malam
Katering
Hidangan penutup","Kursi khusus pengguna kursi roda
Toilet khusus pengguna kursi roda
Musik live
Pertunjukan live
Tempat duduk di atap
Memiliki bar
Toilet
Toilet netral gender
Wi-Fi
Wi-Fi Gratis","Nyaman
Santai","Berkelompok
Ramah keluarga",Menerima reservasi,"Kartu debit
Kartu kredit
Pembayaran NFC dengan ponsel","Cocok untuk anak-anak
Kursi tinggi
Menu anak","Banyak tempat parkir
Tempat parkir berbayar",
"https://www.google.com/maps/place/Almamater+Coffee+%26+Eatery+Solo/@-7.5606209,110.8462289,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a170e2911d811:0xd502530cd1f7312!8m2!3d-7.5606209!4d110.8488038!16s%2Fg%2F11mw7rw6qs?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjM0SAFQAw%3D%3D",Almamater Coffee & Eatery Solo,"4,6",1809,"
Jl. Ir. Sutami No.32, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126",081393622298,Rp 25–50 rb,Kedai Kopi,"Senin 08.00–00.00
Selasa 08.00–00.00
Rabu 08.00–00.00
Kamis 08.00–00.00
Jumat 08.00–00.00
Sabtu 08.00–00.00
Minggu 08.00–00.00","CRQX+QG Jebres, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipOE1NqsxS3of1eDh7_1UstFlQfY4phWu_pe_k-y=w408-h544-k-no,"Tempat duduk di area terbuka
Antar tanpa bertemu
Pesan antar
Bawa pulang
Makan di tempat","Hidangan larut malam
Hidangan organik
Kopi
Makanan happy hour","Sarapan
Brunch
Makan siang
Makan malam
Hidangan penutup","Pertunjukan live
Memiliki bar
Toilet
Wi-Fi
Wi-Fi Gratis","Nyaman
Santai","Berkelompok
Ramah keluarga",Menerima reservasi,"Kartu debit
Kartu kredit
Pembayaran NFC dengan ponsel","Cocok untuk anak-anak
Kursi tinggi
Menu anak","Banyak tempat parkir
Tempat parkir berbayar",
"https://www.google.com/maps/place/TOMORO+COFFEE+-+Stasiun+Solobalapan/@-7.5566858,110.8188654,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a17de1d2949b1:0xf588c7e6dcfe29af!8m2!3d-7.5566858!4d110.8214403!16s%2Fg%2F11vjcjnx81?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjM0SAFQAw%3D%3D",TOMORO COFFEE - Stasiun Solobalapan,"3,8",71,"
St. Solo Balapan, Kestalan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah",Tidak tersedia,Rp 1–25.000,Kedai Kopi,"Senin Buka 24 jam
Selasa Buka 24 jam
Rabu Buka 24 jam
Kamis Buka 24 jam
Jumat Buka 24 jam
Sabtu Buka 24 jam
Minggu Buka 24 jam","CRVC+8H Kestalan, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipMXdi_lRCLK1_nU3Tdy354FUgbAdzXfXV0q4rGZ=w408-h306-k-no,"Bawa pulang
Makan di tempat",Kopi,Hidangan penutup,Toilet,"Nyaman
Santai","
Berkelompok",Tidak Menerima reservasi,Kartu Kredit,Biasa,Tempat parkir berbayar,
"https://www.google.com/maps/place/BLOOMS+Coffee+%26+Eatery/@-7.5973885,110.8122555,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a17c04691d951:0x8ac07751a0ddefdc!8m2!3d-7.5973885!4d110.8148304!16s%2Fg%2F11t9jkhc4r?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjM0SAFQAw%3D%3D",BLOOMS Coffee & Eatery,"4,5",84,"
Ruko Saraswati Jln. Ir. Soekarno No : 12 Dusun I, Madegondo Kec : Grogol Kab : Sukoharjo Solo Baru, Jawa Tengah 57552",081362727278,Rp 25–50 rb,Kedai Kopi,"Senin 10.00–22.00
Selasa 10.00–22.00
Rabu 10.00–22.00
Kamis 10.00–22.00
Jumat 10.00–23.00
Sabtu 10.00–23.00
Minggu 09.00–22.00","CR37+2W Madegondo, Kabupaten Sukoharjo, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipO889QRlzJYWdP0mW613bkAaEFRZhhiS7nsxsLv=w408-h306-k-no,"Tempat duduk di area terbuka
Pesan antar
Bawa pulang
Makan di tempat",Kopi,"Sarapan
Brunch
Makan siang
Makan malam
Hidangan penutup",Toilet,"Nyaman
Santai",Berkelompok,"
Menerima reservasi","Kartu debit
Kartu kredit",Cocok untuk anak-anak,Tempat parkir berbayar,
"https://www.google.com/maps/place/Cekopi+Combi+OJK/@-7.5663819,110.8078135,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a1662fa7b486f:0x6676f658e2453174!8m2!3d-7.5663819!4d110.8103884!16s%2Fg%2F11hd1rps22?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjM0SAFQAw%3D%3D",Cekopi Combi OJK,"4,7",260,"
Ngarsopuro Jalan Birgjend, Jl. Slamet Riyadi, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131",085643453500,Rp 1–25.000,Kedai Kopi,"Senin 18.00–00.00
Selasa 18.00–00.00
Rabu 18.00–00.00
Kamis 18.00–00.00
Jumat 18.00–00.00
Sabtu 18.00–00.00
Minggu 18.00–00.00","CRM6+C5 Sriwedari, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipNOMxv8eM-YEsvMwdoECi8AyrQQTTPj8p-IGjio=w408-h408-k-no,"Tempat duduk di area terbuka
Ambil di tepi jalan
Antar tanpa bertemu
Pesan antar
Drive-through
Bawa pulang
Makan di tempat",Kopi,Hidangan penutup,"Toilet
Toilet netral gender","Nyaman
Santai",Berkelompok,Menerima reservasi,Hanya Tunai,Biasa,Tempat parkir berbayar,
"https://www.google.com/maps/place/A%26M+Co.+Solo/@-7.5592622,110.8248814,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a17ee22c7f107:0x718839c70f647df9!8m2!3d-7.5592622!4d110.8274563!16s%2Fg%2F11g1_rk0w3?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjM0SAFQAw%3D%3D",A&M Co. Solo,"4,6",2825,"
Jl. Abdul Rahman Saleh No.1, Setabelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139",0271666698,Rp 25–50 rb,Restoran,"Senin 07.00–00.00
Selasa 07.00–00.00
Rabu 07.00–00.00
Kamis 07.00–00.00
Jumat 07.00–01.00
Sabtu 07.00–01.00
Minggu 07.00–00.00","CRRG+7X Setabelan, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipMeGfVkxVBb2xLxq5iMrBiqoZeyMKGBJGNvidPP=w716-h240-k-no,"Tempat duduk di area terbuka
Antar tanpa bertemu
Pesan antar
Layanan di tempat
Bawa pulang
Makan di tempat","Alkohol
Anggur
Bir
Hidangan larut malam
Hidangan organik
Koktail
Kopi
Makanan halal
Minuman happy hour
Minuman keras
Pilihan menu vegetarian
Salad prasmanan","Sarapan
Brunch
Makan siang
Makan malam
Katering
Hidangan penutup","Kursi khusus pengguna kursi roda
Pintu masuk khusus pengguna kursi roda
Tempat parkir khusus pengguna kursi roda
Toilet khusus pengguna kursi roda
Memiliki bar
Toilet
Wi-Fi
Wi-Fi Gratis","Kelas atas
Nyaman
Santai","Berkelompok
Ramah keluarga",Menerima reservasi,"Kartu debit
Kartu kredit
Pembayaran NFC dengan ponsel","Cocok untuk anak-anak
Kursi tinggi
Menu anak","Banyak tempat parkir
Tempat parkir berbayar",
"https://www.google.com/maps/place/Gemati+Coffee/@-7.6428318,110.5029431,12z/data=!4m7!3m6!1s0x2e7a15e51d5db663:0xaf6734ccd6c8c80c!8m2!3d-7.5508062!4d110.7716536!15sCg1HZW1hdGkgQ29mZmVlWg8iDWdlbWF0aSBjb2ZmZWWSAQtjb2ZmZWVfc2hvcOABAA!16s%2Fg%2F11rkh_wfrt?entry=tts&g_ep=EgoyMDI0MTEyNC4xIPu8ASoJLDEwMjExMjM0SAFQAw%3D%3D",Gemati Coffee,"4,7",382,"
Jl. Matoa Raya I, Karangasem, Kec. Laweyan, Kota Surakarta, Jawa Tengah",08895201500,Rp 25–50 rb,Kedai Kopi,"Senin 10.00–00.00
Selasa 10.00–00.00
Rabu 10.00–00.00
Kamis 10.00–00.00
Jumat 10.00–00.00
Sabtu 10.00–00.00
Minggu 10.00–00.00","CQXC+MM Karangasem, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipPEPCxXjlm3Pk542u-jZQ1RuRlUJp7VBfutb0nj=w408-h306-k-no,"Tempat duduk di area terbuka
Antar tanpa bertemu
Pesan antar
Bawa pulang
Makan di tempat
Anjing boleh masuk","Alkohol
Kopi
Makanan happy hour","Brunch
Makan siang
Makan malam
Katering
Hidangan penutup
Tempat duduk","Musik live
Pertunjukan live
Memiliki bar
Toilet
Wi-Fi
Wi-Fi Gratis","Nyaman
Santai","Berkelompok
Ramah keluarga",Menerima reservasi,"Kartu debit
Kartu kredit
Pembayaran NFC dengan ponsel","Cocok untuk anak-anak
Kursi tinggi
Menu anak",Tempat parkir berbayar,
"https://www.google.com/maps/place/LAJU+KOPI+CEPAT+SOLO/@-7.5687431,110.8138892,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a17c0432f1bad:0xbb18e33e546e9abf!8m2!3d-7.5687431!4d110.8164641!16s%2Fg%2F11rg1rh3k7?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjM0SAFQAw%3D%3D",LAJU KOPI CEPAT SOLO,"4,4",566,"
CRJ8+GH4, Jl. Slamet Riyadi, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141",Tidak tersedia,Rp 25–50 rb,Kedai Kopi,"Senin 08.00–23.00
Selasa 08.00–23.00
Rabu 08.00–23.00
Kamis 08.00–23.00
Jumat 08.00–23.00
Sabtu 08.00–23.00
Minggu 08.00–23.00",Tidak tersedia,https://lh5.googleusercontent.com/p/AF1QipPH4tN-ATtw7hMCq7LR3JOwSL45B2A9AJdacpdA=w408-h725-k-no,"Tempat duduk di area terbuka
Antar tanpa bertemu
Pesan antar
Bawa pulang
Makan di tempat",Kopi,"Makan siang
Makan malam
Hidangan penutup",Toilet,"Nyaman
Santai",Berkelompok,Menerima reservasi,Kartu kredit,Biasa,"Banyak tempat parkir
Tempat parkir berbayar","joy, love, sadness, fear, anger, surprised"
"https://www.google.com/maps/place/Kulonuwun+Kopi+Saka+Omah+Sinten/@-7.5682086,110.8200348,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a17c9117adddb:0xe21c50e033aa7b48!8m2!3d-7.5682086!4d110.8226097!16s%2Fg%2F11rbq2j2y_?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjM0SAFQAw%3D%3D",Kulonuwun Kopi Saka Omah Sinten,"4,3",939,"
Jl. Diponegoro, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah",085642227799,Rp 25–50 rb,Kedai Kopi,"Senin 09.00–00.00
Selasa 09.00–00.00
Rabu 09.00–00.00
Kamis 09.00–00.00
Jumat 09.00–00.00
Sabtu 09.00–00.00
Minggu 09.00–00.00","CRJF+P2 Keprabon, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipPhCuqElouxL5Hz-vOKEyZV9ObVM9HfFZl38m6m=w426-h240-k-no,"Tempat duduk di area terbuka
Antar tanpa bertemu
Pesan antar
Bawa pulang
Makan di tempat",Kopi,"Brunch
Makan siang
Makan malam
Hidangan penutup",Toilet,"Nyaman
Santai",Berkelompok,Menerima reservasi,"Kartu debit
Kartu kredit
Pembayaran NFC dengan ponsel","Cocok untuk anak-anak
Kursi tinggi
Menu anak","Banyak tempat parkir
Tempat parkir berbayar",
"https://www.google.com/maps/place/History+coffee+ums+solo/@-7.5534395,110.7747743,17z/data=!3m1!4b1!4m14!1m7!3m6!1s0x2e7a157e55c44c9f:0xf75b407977c7b3fd!2sHistory+coffee+ums+solo!8m2!3d-7.5534395!4d110.7773492!16s%2Fg%2F11rfnhn4qv!3m5!1s0x2e7a157e55c44c9f:0xf75b407977c7b3fd!8m2!3d-7.5534395!4d110.7773492!16s%2Fg%2F11rfnhn4qv?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjM0SAFQAw%3D%3D",History coffee ums solo,"4,6",53,"
Jl. Duwet Raya No.14, Karangasem, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57145",081393431056,Rp 1–25.000,Kafe,"Senin 09.00–22.00
Selasa 09.00–22.00
Rabu 09.00–22.00
Kamis 09.00–22.00
Jumat 09.00–22.00
Sabtu 09.00–22.00
Minggu 09.00–22.00","CQWG+JW Karangasem, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipN-OgIMt_3uGOxljqFKV6UKQcIhHP3fSCzqEWAm=w408-h544-k-no,"Tempat duduk di area terbuka
Tempat duduk di atap
Bawa pulang
Makan di tempat","Alkohol
Kopi","Makan siang
Makan malam","Memiliki bar
Toilet
Wi-Fi
Wi-Fi Gratis","Nyaman
Santai","
Berkelompok",Tidak Menerima Reservasi,Hanya Tunai,"Cocok untuk anak-anak
Kursi tinggi",Tempat parkir berbayar,
