Page_URL,Title,Rating,Reviews,Address,Phone_Number,Price,Category,Jadwal,Plus_code,image,Opsi_Layanan,Penawaran,Pilihan_Makanan,Fasilitas,Suasana,Tipe_pengunjung,Perencanaan,Pembayaran,anak_anak,Parkir,
"https://www.google.com/maps/place/Blackbird+Coffee+Solo/@-7.5687029,110.787773,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a171e63dda277:0x7dbb567635de2d78!8m2!3d-7.5711758!4d110.8217548!15sCgljYWZlIHNvbG9aCyIJY2FmZSBzb2xvkgELY29mZmVlX3Nob3DgAQA!16s%2Fg%2F11h2nj2b93?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",Blackbird Coffee Solo,"4,7",537,"
Jl. Gatot Subroto No.33, Singosaren, Kemlayan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57151",082136054746,Rp 25–50 rb,Kedai Kopi,"Senin 10.00–23.30
Selasa 10.00–23.30 
Rabu 10.00–23.30
Kamis 10.00–23.30
Jumat 10.00–23.30
Sabtu 10.00–23.30
Minggu 10.00–23.30","CRHC+GP Kemlayan, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipPhlDGoZ85JN_M08mdy77Uyth9Xb-NC3poA0UaX=w408-h306-k-no,"Tempat duduk di area terbuka
Bawa pulang
Makan di tempat",Kopi,"Makan siang
Makan malam
Hidangan penutup","Toilet
Toilet netral gender
Wi-Fi
Wi-Fi Gratis","Nyaman
Santai","Berkelompok
Ramah keluarga","
Menerima reservasi","Kartu debit
Kartu kredit","
Cocok untuk anak-anak","Banyak tempat parkir
Tempat parkir berbayar",
"https://www.google.com/maps/place/KOTA+Coffee+%26+Space/@-7.5699537,110.7919838,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a15416543df49:0x14284be70dc0b1e6!8m2!3d-7.5699537!4d110.8280327!15sCgpjYWZmZSBzb2xvWgwiCmNhZmZlIHNvbG-SAQtjb2ZmZWVfc2hvcOABAA!16s%2Fg%2F11sdd29lsm?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",KOTA Coffee & Space,"4,8",249,"
Jl. Ronggowarsito No.18, Kp. Baru, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57133",081334144924,Rp 25–50 rb,Kedai Kopi,"Senin 07.00–00.00
Selasa 07.00–00.00
Rabu 07.00–00.00
Kamis 07.00–00.00
Jumat 07.00–00.00
Sabtu 07.00–00.00
Minggu 07.00–00.00","CRJH+26 Kp. Baru, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipNl2PhHXbd7rl8uB_mH2fcwp5FzDBpVdoZ9BcHB=w426-h240-k-no,"Tempat duduk di area terbuka
Antar tanpa bertemu
Pesan antar
Layanan di tempat
Bawa pulang
Makan di tempat","Hidangan larut malam
Hidangan organik
Kopi","Makan malam
Hidangan penutup","Memiliki bar
Toilet","Nyaman
Santai","Berkelompok
Ramah keluarga",Menerima reservasi,Kartu kredit,Cocok untuk anak-anak,"Banyak tempat parkir
Tempat parkir berbayar",
"https://www.google.com/maps/place/Cafe+Tiga+Ceret/@-7.568274,110.7868501,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a142867572b07:0x6e5240772b78e604!8m2!3d-7.568274!4d110.822899!15sCgpjYWZmZSBzb2xvWgwiCmNhZmZlIHNvbG-SARtjZW50cmFsX2phdmFuZXNlX3Jlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmxlbVZVWjA5bkVBReABAA!16s%2Fg%2F11b6msn5t1?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",Cafe Tiga Ceret,"4,3",6688,"
Jl. Ronggowarsito No.97, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131",0271630078,Rp 25–50 rb,Restoran,"Senin 12.00–23.30
Selasa 12.00–23.30
Rabu 12.00–23.30
Kamis 12.00–23.30
Jumat 12.00–23.30
Sabtu 12.00–23.30
Minggu 12.00–23.30","CRJF+M5 Keprabon, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipNe74YT5FLYqhIOORr6UTZj9zVh40qq9Ml0tFp9=w408-h306-k-no,"Tempat duduk di area terbuka
Pesan antar
Bawa pulang
Makan di tempat","Hidangan larut malam
Kopi
Makanan halal","Brunch
Makan siang
Makan malam
Hidangan penutup","Toilet
Musik live","Nyaman
Santai",Berkelompok,Menerima reservasi,Hanya Tunai,"Cocok untuk anak-anak
Menu anak",Tempat parkir berbayar,
"https://www.google.com/maps/place/Tomuan+Coffee+%26+Eatery/@-7.5692308,110.7711981,14z/data=!4m11!1m3!2m2!1scaffe+solo!6e5!3m6!1s0x2e7a158f7cd53f99:0x3d7df645cb315225!8m2!3d-7.5549666!4d110.8090482!15sCgpjYWZmZSBzb2xvWgwiCmNhZmZlIHNvbG-SAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11j4y7k0qz?entry=ttu&g_ep=EgoyMDI0MTExNy4wIKXMDSoASAFQAw%3D%3D",Tomuan Coffee & Eatery,"4,7",719,"
Jl. Menteri Supeno No.7B, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139",081228501213,Rp 25–50 rb,Restoran,"Senin 09.00–00.00
Selasa 09.00–00.00
Rabu 09.00–00.00
Kamis 09.00–00.00
Jumat 09.00–00.00
Sabtu 09.00–00.00
Minggu 09.00–00.00","CRW5+2J Manahan, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipM4d9pttAqgqZXkpFdm4NEBUo4mWTu6LUYgO35t=w408-h725-k-no,"Tempat duduk di area terbuka
Antar tanpa bertemu
Pesan antar
Bawa pulang
Makan di tempat","Kopi
Makanan halal
Makanan happy hour
Minuman happy hour
Ruang makan pribadi","Sarapan
Brunch
Makan siang
Makan malam
Katering
Hidangan penutup","Kursi khusus pengguna kursi roda
Pintu masuk khusus pengguna kursi roda
Toilet
Wi-Fi
Wi-Fi Gratis","Nyaman
Santai","Berkelompok
Ramah keluarga",Wajib reservasi,"Kartu debit
Kartu kredit
Kupon makanan
Pembayaran NFC dengan ponsel","Cocok untuk anak-anak
Menu anak","Banyak tempat parkir
Tempat parkir berbayar",
"https://www.google.com/maps/place/karavan+cafe+Solo+by+Kadatuan+Koffie/@-7.5567551,110.7928874,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a150d4a049e43:0xeb3c74d96114601f!8m2!3d-7.5567551!4d110.7954623!16s%2Fg%2F11gh_mttrm?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjM0SAFQAw%3D%3D",karavan cafe Solo by Kadatuan Koffie,"4,6",5,"
Jl. Duku I No.2, Kerten, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57144",081393431000,Rp 25–50 rb,Kedai Kopi,"Senin 11.00–23.00
Selasa 11.00–23.00
Rabu 11.00–23.00
Kamis 11.00–23.00
Jumat 11.00–23.00
Sabtu 11.00–23.00
Minggu 11.00–23.00","CQVW+75 Kerten, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipNZu99-yTqN1CJMNk57mpJgDTJmOjN6CI3V4UR2=w408-h306-k-no,"Bawa pulang
Makan di tempat",Kopi,Hidangan penutup,Toilet,"Nyaman
Santai",Berkelompok,Menerima reservasi,hanya Tunai,Biasa,Tempat parkir berbayar,
"https://www.google.com/maps/place/Cold+'N+Brew+Solo+Balapan/@-7.5584055,110.8175291,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a179e342ce495:0xa8ab3f7745758bd3!8m2!3d-7.5584055!4d110.820104!16s%2Fg%2F11sp936hhy?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjM0SAFQAw%3D%3D",Cold 'N Brew Solo Balapan,"4,5",1078,"
Jl. Hasanudin No.129, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132",02716793355,Rp 25–50 rb,Kedai Kopi,"Senin 07.00–01.00
Selasa 07.00–01.00
Rabu 07.00–01.00
Kamis 07.00–00.00
Jumat Buka 24 jam
Sabtu Buka 24 jam
Minggu 07.00–01.00","CRRC+J2 Punggawan, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipMhkVN-mHvDGTaXRqdw0VK8WNmeDOGwb8X2sEEb=w408-h272-k-no,"Tempat duduk di area terbuka
Ambil di tepi jalan
Antar tanpa bertemu
Pesan antar
Bawa pulang
Makan di tempat","Hidangan larut malam
Kopi
Makanan happy hour
Makanan siap saji
Minuman happy hour","Sarapan
Brunch
Makan siang
Makan malam
Katering
Hidangan penutup","Kursi khusus pengguna kursi roda
Toilet khusus pengguna kursi roda
Musik live
Pertunjukan live
Tempat duduk di atap
Memiliki bar
Toilet
Toilet netral gender
Wi-Fi
Wi-Fi Gratis","Nyaman
Santai","Berkelompok
Ramah keluarga",Menerima reservasi,"Kartu debit
Kartu kredit
Pembayaran NFC dengan ponsel","Cocok untuk anak-anak
Kursi tinggi
Menu anak","Banyak tempat parkir
Tempat parkir berbayar",
"https://www.google.com/maps/place/Almamater+Coffee+%26+Eatery+Solo/@-7.5606209,110.8462289,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a170e2911d811:0xd502530cd1f7312!8m2!3d-7.5606209!4d110.8488038!16s%2Fg%2F11mw7rw6qs?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjM0SAFQAw%3D%3D",Almamater Coffee & Eatery Solo,"4,6",1809,"
Jl. Ir. Sutami No.32, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126",081393622298,Rp 25–50 rb,Kedai Kopi,"Senin 08.00–00.00
Selasa 08.00–00.00
Rabu 08.00–00.00
Kamis 08.00–00.00
Jumat 08.00–00.00
Sabtu 08.00–00.00
Minggu 08.00–00.00","CRQX+QG Jebres, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipOE1NqsxS3of1eDh7_1UstFlQfY4phWu_pe_k-y=w408-h544-k-no,"Tempat duduk di area terbuka
Antar tanpa bertemu
Pesan antar
Bawa pulang
Makan di tempat","Hidangan larut malam
Hidangan organik
Kopi
Makanan happy hour","Sarapan
Brunch
Makan siang
Makan malam
Hidangan penutup","Pertunjukan live
Memiliki bar
Toilet
Wi-Fi
Wi-Fi Gratis","Nyaman
Santai","Berkelompok
Ramah keluarga",Menerima reservasi,"Kartu debit
Kartu kredit
Pembayaran NFC dengan ponsel","Cocok untuk anak-anak
Kursi tinggi
Menu anak","Banyak tempat parkir
Tempat parkir berbayar",
"https://www.google.com/maps/place/Cekopi+Combi+OJK/@-7.5663819,110.8078135,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a1662fa7b486f:0x6676f658e2453174!8m2!3d-7.5663819!4d110.8103884!16s%2Fg%2F11hd1rps22?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjM0SAFQAw%3D%3D",Cekopi Combi OJK,"4,7",260,"
Ngarsopuro Jalan Birgjend, Jl. Slamet Riyadi, Keprabon, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57131",085643453500,Rp 1–25.000,Kedai Kopi,"Senin 18.00–00.00
Selasa 18.00–00.00
Rabu 18.00–00.00
Kamis 18.00–00.00
Jumat 18.00–00.00
Sabtu 18.00–00.00
Minggu 18.00–00.00","CRM6+C5 Sriwedari, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipNOMxv8eM-YEsvMwdoECi8AyrQQTTPj8p-IGjio=w408-h408-k-no,"Tempat duduk di area terbuka
Ambil di tepi jalan
Antar tanpa bertemu
Pesan antar
Drive-through
Bawa pulang
Makan di tempat",Kopi,Hidangan penutup,"Toilet
Toilet netral gender","Nyaman
Santai",Berkelompok,Menerima reservasi,Hanya Tunai,Biasa,Tempat parkir berbayar,
"https://www.google.com/maps/place/A%26M+Co.+Solo/@-7.5592622,110.8248814,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a17ee22c7f107:0x718839c70f647df9!8m2!3d-7.5592622!4d110.8274563!16s%2Fg%2F11g1_rk0w3?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoJLDEwMjExMjM0SAFQAw%3D%3D",A&M Co. Solo,"4,6",2825,"
Jl. Abdul Rahman Saleh No.1, Setabelan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139",0271666698,Rp 25–50 rb,Restoran,"Senin 07.00–00.00
Selasa 07.00–00.00
Rabu 07.00–00.00
Kamis 07.00–00.00
Jumat 07.00–01.00
Sabtu 07.00–01.00
Minggu 07.00–00.00","CRRG+7X Setabelan, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipMeGfVkxVBb2xLxq5iMrBiqoZeyMKGBJGNvidPP=w716-h240-k-no,"Tempat duduk di area terbuka
Antar tanpa bertemu
Pesan antar
Layanan di tempat
Bawa pulang
Makan di tempat","Alkohol
Anggur
Bir
Hidangan larut malam
Hidangan organik
Koktail
Kopi
Makanan halal
Minuman happy hour
Minuman keras
Pilihan menu vegetarian
Salad prasmanan","Sarapan
Brunch
Makan siang
Makan malam
Katering
Hidangan penutup","Kursi khusus pengguna kursi roda
Pintu masuk khusus pengguna kursi roda
Tempat parkir khusus pengguna kursi roda
Toilet khusus pengguna kursi roda
Memiliki bar
Toilet
Wi-Fi
Wi-Fi Gratis","Kelas atas
Nyaman
Santai","Berkelompok
Ramah keluarga",Menerima reservasi,"Kartu debit
Kartu kredit
Pembayaran NFC dengan ponsel","Cocok untuk anak-anak
Kursi tinggi
Menu anak","Banyak tempat parkir
Tempat parkir berbayar",
"https://www.google.com/maps/place/Gemati+Coffee/@-7.6428318,110.5029431,12z/data=!4m7!3m6!1s0x2e7a15e51d5db663:0xaf6734ccd6c8c80c!8m2!3d-7.5508062!4d110.7716536!15sCg1HZW1hdGkgQ29mZmVlWg8iDWdlbWF0aSBjb2ZmZWWSAQtjb2ZmZWVfc2hvcOABAA!16s%2Fg%2F11rkh_wfrt?entry=tts&g_ep=EgoyMDI0MTEyNC4xIPu8ASoJLDEwMjExMjM0SAFQAw%3D%3D",Gemati Coffee,"4,7",382,"
Jl. Matoa Raya I, Karangasem, Kec. Laweyan, Kota Surakarta, Jawa Tengah",08895201500,Rp 25–50 rb,Kedai Kopi,"Senin 10.00–00.00
Selasa 10.00–00.00
Rabu 10.00–00.00
Kamis 10.00–00.00
Jumat 10.00–00.00
Sabtu 10.00–00.00
Minggu 10.00–00.00","CQXC+MM Karangasem, Kota Surakarta, Jawa Tengah",https://lh5.googleusercontent.com/p/AF1QipPEPCxXjlm3Pk542u-jZQ1RuRlUJp7VBfutb0nj=w408-h306-k-no,"Tempat duduk di area terbuka
Antar tanpa bertemu
Pesan antar
Bawa pulang
Makan di tempat
Anjing boleh masuk","Alkohol
Kopi
Makanan happy hour","Brunch
Makan siang
Makan malam
Katering
Hidangan penutup
Tempat duduk","Musik live
Pertunjukan live
Memiliki bar
Toilet
Wi-Fi
Wi-Fi Gratis","Nyaman
Santai","Berkelompok
Ramah keluarga",Menerima reservasi,"Kartu debit
Kartu kredit
Pembayaran NFC dengan ponsel","Cocok untuk anak-anak
Kursi tinggi
Menu anak",Tempat parkir berbayar,
